r_b_km,Bielliptic_Total_Delta_v_km_s,Hohmann_Total_Delta_v_km_s
16004.240920184035,1.5133613048311494,1.476135753891163
16035.38701660332,1.5129262150580534,1.476135753891163
16066.533113022604,1.5124908057341049,1.476135753891163
16097.679209441887,1.5120550839609845,1.476135753891163
16128.82530586117,1.5116190567710786,1.476135753891163
16159.971402280455,1.5111827311281507,1.476135753891163
16191.11749869974,1.5107461139280245,1.476135753891163
16222.263595119024,1.5103092119992447,1.476135753891163
16253.409691538307,1.5098720321037313,1.476135753891163
16284.55578795759,1.5094345809374423,1.476135753891163
16315.701884376875,1.5089968651310124,1.476135753891163
16346.84798079616,1.5085588912503827,1.476135753891163
16377.994077215442,1.5081206657974469,1.476135753891163
16409.140173634725,1.5076821952106663,1.476135753891163
16440.28627005401,1.507243485865693,1.476135753891163
16471.432366473295,1.5068045440759703,1.476135753891163
16502.578462892576,1.50636537609335,1.476135753891163
16533.72455931186,1.5059259881086855,1.476135753891163
16564.870655731145,1.5054863862524193,1.476135753891163
16596.01675215043,1.5050465765951757,1.476135753891163
16627.162848569715,1.5046065651483351,1.476135753891163
16658.308944988996,1.5041663578646065,1.476135753891163
16689.45504140828,1.503725960638607,1.476135753891163
16720.601137827565,1.503285379307401,1.476135753891163
16751.747234246846,1.5028446196510719,1.476135753891163
16782.89333066613,1.5024036873932691,1.476135753891163
16814.039427085416,1.501962588201748,1.476135753891163
16845.1855235047,1.501521327688911,1.476135753891163
16876.331619923985,1.5010799114123348,1.476135753891163
16907.477716343266,1.5006383448753038,1.476135753891163
16938.62381276255,1.5001966335273296,1.476135753891163
16969.769909181836,1.499754782764661,1.476135753891163
17000.916005601117,1.4993127979308039,1.476135753891163
17032.062102020405,1.4988706843170148,1.476135753891163
17063.208198439686,1.4984284471628149,1.476135753891163
17094.35429485897,1.49798609165647,1.476135753891163
17125.500391278256,1.4975436229354897,1.476135753891163
17156.646487697537,1.4971010460871121,1.476135753891163
17187.79258411682,1.4966583661487731,1.476135753891163
17218.938680536106,1.4962155881085946,1.476135753891163
17250.08477695539,1.4957727169058455,1.476135753891163
17281.230873374676,1.4953297574314028,1.476135753891163
17312.376969793957,1.4948867145282243,1.476135753891163
17343.52306621324,1.4944435929917907,1.476135753891163
17374.669162632526,1.4940003975705651,1.476135753891163
17405.815259051808,1.4935571329664343,1.476135753891163
17436.961355471092,1.4931138038351484,1.476135753891163
17468.107451890377,1.4926704147867653,1.476135753891163
